Name,Description,Source Link,portalSourceName
Smart Views,"Smart Views give you the ability to create sub-tabs by saving the filtered state of a page. In the end  this helps you access the information you're after faster because you don't have to use the filters on, say the students table, every time you want to find your trial students. This feature will ultimately live across multiple pages in the software (students, contacts, staff, classes, and bookings), but as with everything we build, it will be released intermittently and improved over time.
",https://portal.productboard.com/classkid/1-classkid-roadmap/c/51-smart-views,classkid
Zapier/webhooks Integration,"We don't love seeing you use other tools  but we get it - sometimes it just feels good to zap this to that! Now you can zap over to Zapier and trigger a webhook via ClassKid's Automations. Get crazy creative! Example: Trigger a doc for e-signature via DocuSign when a student converts to ""Active"" in ClassKid.
",https://portal.productboard.com/classkid/1-classkid-roadmap/c/38-zapier-webhooks-integration,classkid
E-signature 🪄,"We're adding electronic signatures (E-signatures) to the sign-up step of your store  giving your contacts the ability to sign terms and conditions on the fly, without any hassle or delay. If activated, this will replace the terms and conditions tick box, and request a full digital signature instead.
",https://portal.productboard.com/classkid/1-classkid-roadmap/c/67-e-signature,classkid
Liquid 🪄,"Add the first name  class title, booking start time, student birthdate, etc., to specific automations - namely emails and text messages. Ex: Hi Austin, Penelope's is all booked in for Ballet 1 tomorrow. Their trial class begins at 5pm CT... yada yada. This functionality will also be added to campaigns, which is just a sequence or ""series"" of texts, emails, and delays all put together.
",https://portal.productboard.com/classkid/1-classkid-roadmap/c/22-liquid,classkid
Reports 🪄,"When we launched our MVP last June  we initially provided the top 10 reports and since then we've added a slue of new features ta boot. That means we need to revisit reports now to ensure they're operating efficiently. These enhancements include updating filters, optimizing the layout so that data is more easily imported into other tools like Quickbooks, style changes to the PDF version of reports, and more. We'll also tweak the Dashboard to streamline its look and feel.
",https://portal.productboard.com/classkid/1-classkid-roadmap/c/59-reports,classkid
Confirmations & Reminders,"Send a pre-defined or ""templated"" email when a new booking occurs and remind parents about their child's booking  for example, one day and hour beforehand. This feature requires dynamic fields (liquid) so that you can write the email once and have it auto populate info like the child's name, lesson start time, etc. It works via SMS and email, too. In the end, this allows you to confirm a child's trial booking and remind the family before it starts. This way you can decrease no-show's and increase conversions! Please note - The more robust campaigns builder is a separate feature.
",https://portal.productboard.com/classkid/1-classkid-roadmap/c/53-confirmations-reminders,classkid
Weekly Billing,"Charge tuition weekly on a specific day. So let's say a student enrolls in a 9-month season or 12-week term  you'll be able to invoice them on Friday and charge on Saturday, or whatever days you want. This allows you to customize the ""billing cadence"", which determines how often you charge for tuition.
",https://portal.productboard.com/classkid/1-classkid-roadmap/c/12-weekly-billing,classkid
Payment Collection,"This enhancement allows you to customize how a contact is charged when a student enrolls. For example  you can specify if you'd like the system to collect the first payment, or the first and last payment upon registration. We're also adding another enhancement called ""pre-registration"" so that you can customize how this works if the class hasn't started yet.
",https://portal.productboard.com/classkid/1-classkid-roadmap/c/71-payment-collection,classkid
Membership Fees 🪄,"You already have the ability to charge a membership/registration fee when a student enrolls  but with this enhancement you can empower contacts (parents) to select their membership level and grant various benefits as a result. If you've setup multiple fees (ex: basic and premium), contacts would be required to select their fee in the checkout process before they pay. You'd be able to do this on their behalf when you use the existing admin-side checkout too.
",https://portal.productboard.com/classkid/1-classkid-roadmap/c/73-membership-fees,classkid
Inbox,"View  reply to, and manage inbound text messages and emails. The Messenger Integration will also tie into this, so that you can easily manage your Facebook and Instagram messages in ClassKid too. If you're exhausted hopping from email to your phone to messenger, this feature is for you. It'll streamline the way you communicate with customers and prospects - for sure!
",https://portal.productboard.com/classkid/1-classkid-roadmap/c/26-inbox,classkid
