Name,Description,Source Link,portalSourceName
Schedule an entry for publishing,"As an author I want to specify a date that an entry should be published so that the entry is only able to view from the date that I specify.e.g. Publish a news article tomorrow at 6:00pm
",https://portal.productboard.com/zengenti/2-contensis-open-roadmap/c/21-schedule-an-entry-for-publishing,zengenti
Canvas editing,"The ability to create long form content in a structured way. Allowing authors to create content in a familiar writing canvas rather than the constraint of a composer field which can feel unfamiliar for content such as articles  blog posts and page content.
",https://portal.productboard.com/zengenti/2-contensis-open-roadmap/c/68-canvas-editing,zengenti
Automatically save changes to entries (autosave),"As an author of entries  I want the content I'm entering to be automatically saved so that I don't lose any of my work.
",https://portal.productboard.com/zengenti/2-contensis-open-roadmap/c/94-automatically-save-changes-to-entries-autosave,zengenti
Workflow notifications for entries,"Be notified about particular workflow events. Are there any particular workflow notifications that you'd find useful?Awaiting approval (Submitted for approval)Declined approval (Failed approval)Scheduled entry has been publishedEntry has been deleted
",https://portal.productboard.com/zengenti/2-contensis-open-roadmap/c/23-workflow-notifications-for-entries,zengenti
Calculated / computed / Auto generated fields,"The ability to populate a field from the content of other fields e.g.Combining: Title / First Name / Middle Name / Surname fields togetherSequence: Define a string sequence followed by a number e.g. PROD001  PROD002Introduce a computed field that generates a value or sequence of values from a set of field IDs or defined by a textual pattern e.g.Full name generated from {{firstName},{otherNames}} {{surname}} Result: Richard David SaundersDescription generated from {{courseSummary}}, {{courseCode}}, taught by {{courseLecturer}} Result: This is the summary of a course, 123456, taught by David Jones Driving license from {{surname},{dob},{licenceType}} Result: JONES821020FLCourse code {{department},{subject}}-#### Result: science-chemistry-0001
",https://portal.productboard.com/zengenti/2-contensis-open-roadmap/c/75-calculated-computed-auto-generated-fields,zengenti
Commenting,"Ability to comment on fields of an entry to allow team collaboration and discussion.
",https://portal.productboard.com/zengenti/2-contensis-open-roadmap/c/96-commenting,zengenti
Link field editor,"As a content type adminsitrator I want to add a link field/editor to a content type / component so that my authors can specify a link  label, an other properties in an entry or entry component.
",https://portal.productboard.com/zengenti/2-contensis-open-roadmap/c/51-link-field-editor,zengenti
Redirects,"Ability to create and manage redirects in Contensis  using my normal login credentials.
",https://portal.productboard.com/zengenti/2-contensis-open-roadmap/c/104-redirects,zengenti
Ability to nest components,"We're hearing that you'd like to nest components inside each other. We like the idea but we are aware of some challenges that we'd face in implementing them. How would you use them  why are they important, what are your use cases?
",https://portal.productboard.com/zengenti/2-contensis-open-roadmap/c/10-ability-to-nest-components,zengenti
Content search & reporting using ZenQL,"The ability to search content and generate reports using the ZenQL querying language.
",https://portal.productboard.com/zengenti/2-contensis-open-roadmap/c/88-content-search-reporting-using-zenql,zengenti
Field and tab permissions in entries,"As an administrator I want to control which fields or tabs in an entry an author can edit so that I can prevent in accidental updates to content.How would you use this feature?What types of content would you use this on?
",https://portal.productboard.com/zengenti/2-contensis-open-roadmap/c/34-field-and-tab-permissions-in-entries,zengenti
Composer count validation,"Reduce the number of items that can be added to a composer field.
",https://portal.productboard.com/zengenti/2-contensis-open-roadmap/c/90-composer-count-validation,zengenti
Entry usage/dependancy warnings,"As a user who is unpublishing or deleting an entry I'm informed of the impact this may have on other entries.These actions should display a warning stating how many entries will be affected by the deletion or unpublish  with a link to the usage panel to see the affected entries.
",https://portal.productboard.com/zengenti/2-contensis-open-roadmap/c/92-entry-usage-dependancy-warnings,zengenti
Zapier integration,"Share data between Contensis and third-party apps using Zapier.
",https://portal.productboard.com/zengenti/2-contensis-open-roadmap/c/105-zapier-integration,zengenti
