Name,Description,Source Link,portalSourceName
Enhanced identity security with MFA,"DRACOON already provides possibilities to connect your IdP of choice via OpenID. This is of limited use for external users who should only be created locally but sign in with the same security as an internal user and authenticate with multi-factors. Please let us know how important this is for you!
",https://portal.productboard.com/dracoon/1-dracoon-roadmap/c/36-enhanced-identity-security-with-mfa,dracoon
racoon-roadmap/c/40-push-notifications-web-app-windows-mac,dracoon
User Management - add individual fields,"As an admin I want to be able to individually define custom fields which can be maintained on user level and by each user himself. Also it should be possible then to sort and filter the users according to those fields.
",https://portal.productboard.com/dracoon/1-dracoon-roadmap/c/76-user-management-add-individual-fields,dracoon
Data room notifications include also sub data rooms,"As a user i want to be able to define on a specific data room that a set up notification should include all sub data rooms which are created in this specific data room. 
",https://portal.productboard.com/dracoon/1-dracoon-roadmap/c/70-data-room-notifications-include-also-sub-data-rooms,dracoon
Connecting Software - digital sealing of documents,"
",https://portal.productboard.com/dracoon/1-dracoon-roadmap/c/68-connecting-software-digital-sealing-of-documents,dracoon
Global recycle bin retention,"As a central DRAOCON config manager it is necessary to define for a DRACOON environment recycle bin retention periods  to ensure GDPR compliant file deletion. At the moment each data room administrator can define this for his data rooms by himself and the default setting for new data rooms is unlimited retention of file in the recycle bin.
",https://portal.productboard.com/dracoon/1-dracoon-roadmap/c/63-global-recycle-bin-retention,dracoon
Configurable token timeouts,"In order to comply with company policies  DRACOON is currently working on configurable token timeouts for user session: Define the time period after which an access or refresh token expires as a global setting for your tenant with this upcoming feature.
",https://portal.productboard.com/dracoon/1-dracoon-roadmap/c/31-configurable-token-timeouts,dracoon
Notifications when near quota limit,"When a data room got a quota limit which is nearly reached (e.g. 85 %) I want to be notified  so I can remove unnecessary files.
",https://portal.productboard.com/dracoon/1-dracoon-roadmap/c/74-notifications-when-near-quota-limit,dracoon
Prevent upload of malicious files powered by GDATA,"By working on this feature  DRACOON is planning to integrate the leading service of GDATA for secure and GDPR-compliant scanning of malicious files to prevent them from being distributed via DRACOON. This is just another step to make the world a bit more save in cyber security
",https://portal.productboard.com/dracoon/1-dracoon-roadmap/c/56-prevent-upload-of-malicious-files-powered-by-gdata,dracoon
Web Hooks,"Web Hooks will significantly extend integration possibilities for DRACOON: Call specific URLs triggered by provisioning  admin or user events like customer creation or deletion, user creation or deletion or file creation in a data room. There are countless options to trigger events based on actions inside DRACOON. 
",https://portal.productboard.com/dracoon/1-dracoon-roadmap/c/29-web-hooks,dracoon
Tree view for data room structure,"As a user I want to be able to navigate through deeply nested room structures within one view so that I can find content easily.
",https://portal.productboard.com/dracoon/1-dracoon-roadmap/c/78-tree-view-for-data-room-structure,dracoon
Support of DICOM files,"DICOM® (Digital Imaging and Communications in Medicine) is the international standard format to transmit  store, retrieve, print, process, and display medical imaging information.DRACOON is working on the integration of a DICOM viewer, so that DICOM images and its layers are displayed in the detail view and no dedicated desktop software has to be used instead.
",https://portal.productboard.com/dracoon/1-dracoon-roadmap/c/42-support-of-dicom-files,dracoon
Scan documents via Android app,"With this feature you can convert images taken by my Android device to pdf and upload them to DRACOON ('scan'). So you can digitalize relevant documents quickly.
",https://portal.productboard.com/dracoon/1-dracoon-roadmap/c/52-scan-documents-via-android-app,dracoon
Print to Dracoon,"DRACOON adds an easy and convenient way to upload files to DRACOON from any application by using the print mechanism via a Virtual Printer Driver. You will be able to save it as a PDF  PDF/A or JPEG, add classification and retention, add watermark, trigger digital sealing, share it instantly via DRACOON share links... 
",https://portal.productboard.com/dracoon/1-dracoon-roadmap/c/46-print-to-dracoon,dracoon
